Nimi,Puolue,Luottamuselin teksti,Alku,Loppu,Luottamuselimen asema
Eskelinen Matti,EI,7. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Fandi Maia,VIHR,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Fandi Maia,VIHR,Kaupunginhallitus,03.11.2008,31.12.2010,Henkilökohtainen varajäsen
Fandi Maia,VIHR,Taloustoimikunta,02.02.2009,31.12.2010,Henkilökohtainen varajäsen
Fandi Maia,VIHR,Sivistyslautakunta,08.12.2008,17.01.2011,Jäsen
Fandi Maia,VIHR,Ilmasto-ohjelmatyön ohjausryhmä,13.09.2010,22.08.2011,Jäsen
Fandi Maia,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Fandi Maia,VIHR,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Fandi Maia,VIHR,Laajennettu puheenjohtajisto,14.08.2009,31.12.2012,Jäsen
Fandi Maia,VIHR,Kaupunginhallitus,01.01.2011,31.12.2012,Jäsen
Fandi Maia,VIHR,Tulevaisuus- ja kaupunkisuunnittelulautakunta,17.01.2011,31.12.2012,Edustaja
Floor Sirpa,KESK,17. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Florin Kyösti,KD,Kaupunginvaltuusto,03.11.2008,31.12.2012,3. varajäsen
Florin Kyösti,KD,Keskusvaalilautakunta,03.11.2008,31.12.2012,Varajäsen
Flyktman Arja,VAS,35. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Flyktman Arja,VAS,35. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Fredrikson Maija,KOK,Kulttuurilautakunta,01.08.2010,31.12.2010,Henkilökohtainen varajäsen
Fredrikson Maija,KOK,Kulttuurijaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Fredrikson Timo,KOK,Kaupunginvaltuusto,03.11.2008,07.06.2010,1. varajäsen
Fredrikson Timo,KOK,Ilmasto-ohjelmatyön ohjausryhmä,13.09.2010,22.08.2011,Jäsen
Fredrikson Timo,KOK,Kaupunginvaltuusto,08.06.2010,31.12.2012,Jäsen
Fredrikson Timo,KOK,Maakuntavaltuusto,08.06.2010,31.12.2012,Henkilökohtainen varajäsen
Fredrikson Timo,KOK,Kaupunginhallitus,17.01.2011,31.12.2012,Henkilökohtainen varajäsen
Friman-Tiihonen Virve,KESK,15. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Friman-Tiihonen Virve,KESK,15. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Friman-Tiihonen Virve,KESK,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Fuchs Bertold,EI,Keskustan alueen aluejk,01.01.2005,31.12.9999,Puheenjohtaja
Gerlach Riitta,VAS,7. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Gerlach Riitta,VAS,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2009,31.12.2009,Jäsen
Gerlach Riitta,VAS,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2010,31.12.2010,Jäsen
Gerlach Riitta,VAS,7. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Gerlach Riitta,VAS,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2011,31.12.2011,Jäsen
Gerlach Riitta,VAS,7. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Gerlach Riitta,VAS,Viitaniemen alueen aluejk,01.01.2005,31.12.9999,Varajäsen
Glad Virpi,VAS,17. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Granberg Kaj,VIHR,32. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Granberg Kaj,VIHR,32. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Granberg Kaj,VIHR,32. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Gröhn Marko,KOK,7. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Gröhn Tuuli,KOK,10. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Gröhn Tuuli,KOK,Nuorisolautakunta,08.12.2008,21.09.2009,Henkilökohtainen varajäsen
Grönlund Anna,VIHR,2. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Gustafsson Arto,VAS,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Göös Hannu,KOK,31. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Göös Hannu,KOK,31. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Göös Hannu,KOK,31. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Göös Riitta-Liisa,KOK,22. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Göös Riitta-Liisa,KOK,22. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Göös Riitta-Liisa,KOK,22. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Göös Riitta-Liisa,KOK,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Haapamäki Arja,EI,Keskustan alueen aluejk,01.01.2005,31.12.9999,Jäsen
Haapamäki Vesa,KESK,Päivähoito- ja varhaiskasvatusjaosto,22.01.2009,18.11.2010,Henkilökohtainen varajäsen
Haapamäki Vesa,KESK,Perusturvalautakunta,08.12.2008,13.12.2010,Henkilökohtainen varajäsen
Haapamäki Vesa,KESK,Työllisyysjaosto,22.01.2009,20.01.2011,Jäsen
Haaparinne Zachris,KOK,3. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Haapasaari Marjut,KD,Tilapalvelun johtokunta,01.01.2009,31.01.2011,Henkilökohtainen varajäsen
Haapsaari Jorma,KOK,Käräjäoikeuden lautamiehet,01.01.2005,31.03.2009,Jäsen
Haapsalo Kaija,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Haapsalo Kaija,SDP,Kaupunginhallitus,03.11.2008,31.12.2010,Henkilökohtainen varajäsen
Haapsalo Kaija,SDP,Taloustoimikunta,02.02.2009,31.12.2010,Henkilökohtainen varajäsen
Haapsalo Kaija,SDP,Ilmasto-ohjelmatyön ohjausryhmä,13.09.2010,22.08.2011,Henkilökohtainen varajäsen
Haapsalo Kaija,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Haapsalo Kaija,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Haapsalo Kaija,SDP,Kaupunginhallitus,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hagman Pertti,VAS,1. Vaalitoimikunta,27.04.2009,07.06.2009,2. varajäsen
Hagman Pertti,VAS,1. Vaalitoimikunta,24.03.2011,17.04.2011,2. varajäsen
Hagman Pertti,VAS,1. Vaalitoimikunta,08.12.2011,05.02.2012,2. varajäsen
Hagman Petri,VAS,Liikuntalautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Hagman Petri,VAS,Liikuntajaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hakanen Hannu,VAS,16. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Hakanen Hannu,VAS,16. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Hakanen Pertti,VAS,6. Vaalitoimikunta,08.12.2011,05.02.2012,1. varajäsen
Hakanen Riitta,EI,37. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Hakanen Riitta,EI,37. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Hakkarainen Arvi,VAS,18. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Hakkarainen Arvi,VAS,Yksilöhuoltojaosto/Sos.ja.terv.ltk,22.01.2009,31.12.2012,Jäsen
Hakkarainen Arvi,VAS,K-S shp:n kuntayhtymävalt.,06.06.2006,31.12.9999,Varajäsen
Hakkarainen Mari,EI,36. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Hakkarainen Mari,EI,28. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Hakkarainen Mari,EI,28. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Hakulinen Sari,SDP,31. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Hakulinen Sari,SDP,22. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Hakulinen Sari,SDP,Liikuntajaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hallamäki Irene,VIHR,7. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Hallamäki Irene,VIHR,7. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Hallamäki Irene,VIHR,7. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Hallamäki Irene,VIHR,Tarkastuslautakunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Hallamäki Irene,VIHR,Käräjäoikeuden lautamiehet,23.08.2011,31.12.2012,Jäsen
Halme Salme,KOK,6. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Halme Salme,KOK,6. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Halme Salme,KOK,6. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Halonen Mari,VIHR,19. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Halonen Marita,KD,8. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Halonen Marita,KD,8. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Halonen Saara,KOK,11. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Halttunen Simo,SDP,Tarkastuslautakunta/III-jaosto,01.01.2005,31.05.2009,Jäsen
Halttunen Simo,SDP,Kaupunginvaltuusto,01.01.2009,17.05.2010,20. varajäsen
Halttunen Simo,SDP,2. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Halttunen Simo,SDP,2. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Halttunen Simo,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2012,19. varajäsen
Halttunen Simo,SDP,Tarkastuslautakunta,01.01.2009,31.12.2012,Jäsen
Halttunen Simo,SDP,Tarkastuslautakunta/III-jaosto,02.02.2009,31.12.2012,Jäsen
Halttunen Simo,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,18. varajäsen
Halttunen-Kihlström Maija,KD,38. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Hannikainen-Vainio Kaisa,KESK,,01.01.2007,31.12.2010,Jäsen
Hannikainen-Vainio Kaisa,KESK,Jyväskylän Taiteilijatalosäätiön hallitus,01.01.2007,31.12.9999,Jäsen
Hannonen Paloma,VIHR,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Hannonen Paloma,VIHR,Ympäristöterveysjaosto,22.01.2009,16.09.2010,Jäsen
Hannonen Paloma,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Hannonen Paloma,VIHR,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Puheenjohtaja
Hannonen Paloma,VIHR,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Hannonen Paloma,VIHR,Maakuntavaltuusto,11.03.2009,31.12.2012,Henkilökohtainen varajäsen
Hannonen Paloma,VIHR,Asuntomessutoimikunta,26.04.2011,31.12.2014,Jäsen
Hannula Ismo,VIHR,20. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Hannula Pirjo,KOK,Liikuntalautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Hannula Pirjo,KOK,Liikuntajaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hantunen Timo,EI,Huhtasuon alueen aluejk,01.01.2005,31.12.9999,Varajäsen
Hardy Kirsi-Mari,KESK,Nuorisolautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Hardy Kirsi-Mari,KESK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2009,31.12.2010,Jäsen
Hardy Kirsi-Mari,KESK,Nuorisojaosto,01.01.2011,25.01.2012,Henkilökohtainen varajäsen
Hardy Kirsi-Mari,KESK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2011,31.12.2012,Jäsen
Harju Jaakko,EI,Viitaniemen alueen aluejk,01.01.2005,31.12.9999,Varajäsen
Harjula Anneli,KOK,2. Vaalitoimikunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Harjula Anneli,KOK,9. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Harjula Anneli,KOK,9. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Harjula Anneli,KOK,2. Vaalitoimikunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Harjula Anneli,KOK,9. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Harjula Anneli,KOK,2. Vaalitoimikunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Harlamow Ari,VAS,Kiinteistötoimitusten uskotut miehet,15.05.2012,31.12.2012,Jäsen
Hassinen Tuomo,KESK,Kaupunginvaltuusto,03.11.2008,17.01.2011,7. varajäsen
Hassinen Tuomo,KESK,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Hassinen Tuomo,KESK,Kaupunginvaltuusto,18.01.2011,31.12.2012,6. varajäsen
Hatzitoliou Pirjo,SDP,Liikuntalautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Hatzitoliou Pirjo,SDP,Sotepa/Vammaisneuvosto,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Hatzitoliou Pirjo,SDP,Liikuntajaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hatzitoliou Pirjo,SDP,"Kulttuuri-, liikunta- ja nuorisolautakunta",23.08.2011,31.12.2012,Henkilökohtainen varajäsen
Hautakangas Merja,KOK,4. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Hautakangas Merja,KOK,Kaupunginhallitus,03.11.2008,31.12.2010,Henkilökohtainen varajäsen
Hautakangas Merja,KOK,Taloustoimikunta,02.02.2009,31.12.2010,Henkilökohtainen varajäsen
Hautakangas Merja,KOK,Kaupunginvaltuusto,08.06.2010,17.01.2011,3. varajäsen
Hautakangas Merja,KOK,4. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Hautakangas Merja,KOK,4. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Hautakangas Merja,KOK,Kaupunkirakennelautakunta,08.12.2008,31.12.2012,Jäsen
Hautakangas Merja,KOK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Hautakangas Merja,KOK,Kaupunginhallitus,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hautakangas Merja,KOK,Kaupunginvaltuusto,18.01.2011,31.12.2012,2. varajäsen
Hautakangas Merja,KOK,Joukkoliikennelautakunta,01.01.2012,31.12.2012,Jäsen
Hautala Kirsi,EI,26. Vaalilautakunta,18.05.2009,07.06.2009,3. varajäsen
Hautala Kirsi,EI,26. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Hautala Kirsi,EI,26. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Hautala Timo,VIHR,9. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Hautala Timo,VIHR,7. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Hautala Timo,VIHR,8. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Hautala Timo,VIHR,Kiinteistötoimitusten uskotut miehet,12.01.2009,31.12.2012,Jäsen
Hautala Timo,VIHR,Käräjäoikeuden lautamiehet,23.08.2011,31.12.2012,Jäsen
Hautamäki Jari,EI,Huhtarinteen koulun jk,01.01.2005,31.12.9999,Puheenjohtaja
Hautamäki Riitta-Maija,KOK,9. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Hautamäki Riitta-Maija,KOK,Tilapalvelun johtokunta,01.01.2009,31.01.2011,Jäsen
Hautamäki Riitta-Maija,KOK,9. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Hautamäki Riitta-Maija,KOK,9. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Hautamäki Riitta-Maija,KOK,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",22.09.2009,31.12.2012,2. varapuheenjohtaja
Hautamäki Riitta-Maija,KOK,Tilapalvelun johtokunta,01.02.2011,31.12.2012,Henkilökohtainen varajäsen
Hautamäki Riitta-Maija,KOK,Kaupunginvaltuusto,07.06.2011,31.12.2012,15. varajäsen
Hautamäki Tapani,EI,Lukiokoulutuksen johtokunta,01.01.2005,31.12.9999,Jäsen
Hautanen Ruusu-Maija,EI,Viitaniemen alueen aluejk,01.01.2005,31.12.9999,Jäsen
Heikkilä Eija,EI,Kilpisen alueen aluejk,01.01.2005,31.12.9999,Jäsen
Heikkilä Elsa,SDP,28. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Heikkilä Elsa,SDP,28. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Heikkilä Iris,SDP,28. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Heikkilä Iris,SDP,28. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Heikkilä Iris,SDP,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Heikkilä Tellervo,KESK,14. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Heimovaara Elisa,VIHR,17. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Heinilä Hannes,KESK,Palokan terv.huollon kuntayht. yhtymähall.,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Heinilä Hannes,KESK,Päivähoito- ja varhaiskasvatusjaosto,29.04.2011,31.12.2011,Henkilökohtainen varajäsen
Heinilä Hannes,KESK,Perusturvalautakunta,08.12.2008,27.08.2012,Henkilökohtainen varajäsen
Heinilä Hannes,KESK,Päivähoito- ja varhaiskasvatustoimikunta,01.01.2012,28.08.2012,Henkilökohtainen varajäsen
Heinilä Hannes,KESK,Yksilöhuoltojaosto/Sos.ja.terv.ltk,22.01.2009,31.12.2012,Henkilökohtainen varajäsen
Heino Anne,EI,Erityiskoulujen johtokunta,01.01.2005,31.12.9999,Varajäsen
Heinola Antti,KD,18. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Heinola Antti,KD,18. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Heinola Antti,KD,18. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Heinonen Markku,KD,35. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Heinonen Markku,KD,35. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Heinonen Markku,KD,35. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Heinsola Arjo,VIHR,Kaupunginvaltuusto,03.11.2008,31.12.2012,6. varajäsen
Heinälä Leena,KESK,24. Vaalilautakunta,27.04.2009,07.06.2009,4. varajäsen
Heinälä Leena,KESK,24. Vaalilautakunta,24.03.2011,17.04.2011,4. varajäsen
Heinälä Leena,KESK,24. Vaalilautakunta,08.12.2011,05.02.2012,4. varajäsen
Heinälä Leena,KESK,Vanhusneuvosto,01.01.2009,31.12.2012,Varajäsen
Heiskanen Irma,VIHR,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Varapuheenjohtaja
Helin-Kautto Helena,VAS,Tilapalvelun johtokunta,15.02.2011,31.12.2012,Henkilökohtainen varajäsen
Helke Markku,EI,Kaupunkikuvatoimikunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Helke Petri,EI,Erityiskoulujen johtokunta,01.01.2005,31.12.9999,Jäsen
Helle Kerttu,EI,Kilpisen alueen aluejk,30.06.2006,31.12.9999,Jäsen
Hellman Janne,SDP,32. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Hellman Janne,SDP,32. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Helmola Markku,SDP,27. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Helmola Markku,SDP,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2009,31.12.2009,Henkilökohtainen varajäsen
Helmola Markku,SDP,27. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Helmola Markku,SDP,27. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Helmola Markku,SDP,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Heloaho Aune,EI,19. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Heloaho Aune,EI,19. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Heloaho Aune,EI,19. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Herronen Outi,KESK,32. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Herve Jorma,EI,Viitaniemen alueen aluejk,01.01.2005,31.12.9999,Jäsen
Hiekkalinna Seppo,KOK,17. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Hiekkalinna Seppo,KOK,17. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Hiekkalinna Seppo,KOK,17. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Hietala Sanna,SDP,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Hietala Sanna,SDP,,04.10.2005,31.12.9999,Jäsen
Hietanen Perttu,KOK,Kaupunginvaltuusto,08.06.2010,17.01.2011,10. varajäsen
Hietanen Perttu,KOK,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Jäsen
Hietanen Perttu,KOK,Kaupunginvaltuusto,18.01.2011,31.12.2012,9. varajäsen
Hiltunen Aimo,KOK,3. Vaalilautakunta,08.12.2011,05.02.2012,8. varajäsen
Hiltunen Ari,KOK,Kaupunginhallitus,03.11.2008,12.01.2009,Jäsen
Hiltunen Ari,KOK,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Henkilökohtainen varajäsen
Hiltunen Ari,KOK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2010,2. varapuheenjohtaja
Hiltunen Ari,KOK,Talouspalvelukeskuksen johtokunta,01.01.2009,31.12.2010,Edustaja
Hiltunen Ari,KOK,Kaupunginhallitus,13.01.2009,31.12.2010,2. varapuheenjohtaja
Hiltunen Ari,KOK,Taloustoimikunta,02.02.2009,31.12.2010,2. varapuheenjohtaja
Hiltunen Ari,KOK,Tilapalvelun johtokunta,01.01.2009,10.01.2011,Varapuheenjohtaja
Hiltunen Ari,KOK,Organisaatiotoimikunta,15.02.2010,10.01.2011,Jäsen
Hiltunen Ari,KOK,Kaupunginvaltuusto,03.11.2008,17.01.2011,Jäsen
Hiltunen Ari,KOK,Maakuntavaltuusto,11.03.2009,17.01.2011,Henkilökohtainen varajäsen
Hiltunen Ari,KOK,Juhlatoimikunta (175-v),01.06.2010,17.01.2011,Jäsen
Hiltunen Ari,KOK,Kaupunginhallitus,01.01.2011,17.01.2011,2. varapuheenjohtaja
Hiltunen Seppo,PS,13. Vaalilautakunta,08.12.2011,05.02.2012,8. varajäsen
Hintikka Pauli,KESK,Kunnan keskusvaalilautakunta,07.07.2008,31.01.2009,5. varajäsen
Hintikka Pauli,KESK,Keskusvaalilautakunta,03.11.2008,31.12.2012,Jäsen
Hirvensalo Antti,SDP,17. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Hirvensalo Antti,SDP,17. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Hirvensalo Antti,SDP,17. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Hirvensalo Antti,SDP,Nuorisojaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hirvivuori Minna,EI,35. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Hirvivuori Minna,EI,Sivistyslautakunta,08.12.2008,08.11.2010,Henkilökohtainen varajäsen
Hirvonen Irma,SDP,10. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Hirvonen Irma,SDP,10. Vaalilautakunta,26.03.2011,17.04.2011,3. varajäsen
Hirvonen Irma,SDP,10. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Hirvonen Irma,SDP,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Hirvonen Irma,SDP,Altek Aluetekniikan johtokunta,19.01.2009,31.12.2012,Jäsen
Hirvonen Janne,SDP,8. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Hirvonen Janne,SDP,8. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Hirvonen Janne,SDP,8. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Hirvonen Liisa,KOK,1. Vaalitoimikunta,27.04.2009,07.06.2009,1. varajäsen
Hirvonen Liisa,KOK,18. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Hirvonen Liisa,KOK,18. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Hirvonen Liisa,KOK,4. Vaalitoimikunta,24.03.2011,17.04.2011,Jäsen
Hirvonen Liisa,KOK,18. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Hirvonen Liisa,KOK,4. Vaalitoimikunta,08.12.2011,05.02.2012,Jäsen
Hirvonen Sanna,SDP,Opetuslautakunta,01.01.2005,31.12.9999,Varajäsen
Hjelt Juha,SDP,12. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Hjelt Juha,SDP,Kaupunginhallitus,03.11.2008,31.12.2010,Henkilökohtainen varajäsen
Hjelt Juha,SDP,Liikuntalautakunta,08.12.2008,31.12.2010,Jäsen
Hjelt Juha,SDP,Taloustoimikunta,02.02.2009,31.12.2010,Henkilökohtainen varajäsen
Hjelt Juha,SDP,12. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Hjelt Juha,SDP,Kaupunginvaltuusto,03.11.2008,06.06.2011,2. varajäsen
Hjelt Juha,SDP,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,22.08.2011,Henkilökohtainen varajäsen
Hjelt Juha,SDP,Liikuntajaosto,01.01.2011,13.09.2011,Jäsen
Hjelt Juha,SDP,12. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Hjelt Juha,SDP,Organisaatiotoimikunta,15.02.2010,31.12.2012,Henkilökohtainen varajäsen
Hjelt Juha,SDP,Kaupunginhallitus,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hjelt Juha,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,1. varajäsen
Hjelt Juha,SDP,"Kulttuuri-, liikunta- ja nuorisolautakunta",23.08.2011,31.12.2012,Varapuheenjohtaja
Hjelt Juha,SDP,Laajennettu puheenjohtajisto,23.08.2011,31.12.2012,Jäsen
Hjelt Juha,SDP,Liikuntajaosto,14.09.2011,31.12.2012,Puheenjohtaja
Hjelt Niko,SDP,Nuorisolautakunta,24.08.2009,31.12.2010,Jäsen
Hjelt Niko,SDP,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Hjelt Niko,SDP,Nuorisojaosto,01.01.2011,31.12.2012,Jäsen
Hokkanen Eija,VAS,Työllisyysjaosto,22.01.2009,31.12.2012,Henkilökohtainen varajäsen
